id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
2583,ENKR,medium_airport,"Kirkenes Airport, HÃ¸ybuktmoen",69.7258,29.8913,283,EU,NO,NO-54,Kirkenes,yes,ENKR,KKN,
29264,ENLK,medium_airport,Leknes Airport,68.15249634,13.6093998,78,EU,NO,NO-18,Leknes,yes,ENLK,LKN,
29265,ENMH,medium_airport,Mehamn Airport,71.02970123,27.82670021,39,EU,NO,NO-54,Mehamn,yes,ENMH,MEH,
2585,ENML,medium_airport,"Molde Airport, Ã…rÃ¸",62.744701,7.2625,10,EU,NO,NO-15,Ã…rÃ¸,yes,ENML,MOL,
2586,ENMS,medium_airport,"MosjÃ¸en Airport, KjÃ¦rstad",65.783997,13.2149,237,EU,NO,NO-18,MosjÃ¸en,yes,ENMS,MJF,
2587,ENNA,medium_airport,"Lakselv Airport, Banak",70.068802,24.973499,25,EU,NO,NO-54,Lakselv,yes,ENNA,LKL,
29267,ENNM,small_airport,Namsos Airport,64.472198,11.5786,7,EU,NO,NO-50,Namsos,yes,ENNM,OSY,
2588,ENNO,medium_airport,Notodden Airport,59.565701,9.21222,63,EU,NO,NO-38,Notodden,yes,ENNO,NTB,
2589,ENOL,medium_airport,Ã˜rland Airport,63.69889832,9.604000092,28,EU,NO,NO-50,Ã˜rland,yes,ENOL,OLA,
28114,ENOV,medium_airport,"Ã˜rsta-Volda Airport, Hovden",62.18000031,6.074100018,243,EU,NO,NO-15,Ã˜rsta,yes,ENOV,HOV,
29277,ENRA,medium_airport,"Mo i Rana Airport, RÃ¸ssvoll",66.36389923,14.30140018,229,EU,NO,NO-18,Mo i Rana,yes,ENRA,MQN,
29278,ENRM,medium_airport,"RÃ¸rvik Airport, Ryum",64.83830261,11.14610004,14,EU,NO,NO-50,RÃ¸rvik,yes,ENRM,RVK,
2591,ENRO,medium_airport,RÃ¸ros Airport,62.57839966,11.34230042,2054,EU,NO,NO-50,RÃ¸ros,yes,ENRO,RRS,
29279,ENRS,small_airport,RÃ¸st Airport,67.52780151,12.10330009,7,EU,NO,NO-18,,yes,ENRS,RET,
2593,ENSB,medium_airport,"Svalbard Airport, Longyear",78.24610138,15.46560001,88,EU,NO,NO-21,Longyearbyen,yes,ENSB,LYR,
29280,ENSD,small_airport,"Sandane Airport, Anda",61.830002,6.10583,196,EU,NO,NO-46,Sandane,yes,ENSD,SDN,
28116,ENSG,small_airport,"Sogndal Airport, HaukÃ¥sen",61.156101,7.13778,1633,EU,NO,NO-46,Sogndal,yes,ENSG,SOG,
29281,ENSH,medium_airport,"SvolvÃ¦r Airport, Helle",68.243301,14.6692,27,EU,NO,NO-18,SvolvÃ¦r,yes,ENSH,SVJ,
29282,ENSK,medium_airport,"Stokmarknes Airport, Skagen",68.578827,15.033417,11,EU,NO,NO-18,Hadsel,yes,ENSK,SKN,
2595,ENSO,medium_airport,"Stord Airport, SÃ¸rstokken",59.791901,5.34085,160,EU,NO,NO-46,Leirvik,yes,ENSO,SRP,
2596,ENSR,medium_airport,SÃ¸rkjosen Airport,69.78679657,20.95940018,16,EU,NO,NO-54,SÃ¸rkjosen,yes,ENSR,SOJ,
2597,ENSS,medium_airport,"VardÃ¸ Airport, Svartnes",70.35540009,31.04490089,42,EU,NO,NO-54,VardÃ¸,yes,ENSS,VAW,
